CustomerID,Email,LCLid
BAN001115,whess@hotmail.com,MAC003436
BAN001116,josesims@hunter.com,MAC003439
BAN001117,dtaylor@webb.com,MAC003528
BAN001118,briangonzales@gmail.com,MAC003581
BAN001119,jared99@yahoo.com,MAC003626
BAN001120,qchristian@martinez-allen.com,MAC003638
BAN001121,ngarcia@donaldson.info,MAC003682
BAN001122,scastillo@hotmail.com,MAC003684
BAN001123,joshua56@garcia.com,MAC003722
BAN001124,richard81@day.org,MAC003753
BAN001125,jessica97@hotmail.com,MAC003758
BAN001126,angelaphillips@gmail.com,MAC003808
BAN001127,donald67@harrison.com,MAC003852
BAN001128,zmalone@yahoo.com,MAC003865
BAN001129,rlindsey@norris.com,MAC003897
BAN001130,lewisgabrielle@hotmail.com,MAC003899
BAN001131,kristina69@gmail.com,MAC003991
BAN001132,krista86@norton.net,MAC004095
BAN001133,chelsea05@hansen.com,MAC004098
BAN001134,jill33@allen.com,MAC004107
BAN001135,welchashlee@hotmail.com,MAC004114
BAN001136,dawnlewis@watkins.org,MAC004155
BAN001137,ashleychristopher@gmail.com,MAC004321
BAN001138,acontreras@hotmail.com,MAC004391
BAN001139,alvaradoadam@jones-thompson.com,MAC004423
BAN001140,thomasgeorge@gonzalez-grant.com,MAC004440
BAN001141,solischristina@gmail.com,MAC004457
BAN001142,jacksonboone@rubio.com,MAC004494
BAN001143,kaitlyn78@chang.com,MAC004929
BAN001144,francisgeorge@thomas.org,MAC004956
BAN001145,linda90@yoder.org,MAC005035
BAN001146,david79@lopez-montes.com,MAC005048
BAN001147,micheleblanchard@lopez-greene.com,MAC005229
BAN001148,pmercado@rodriguez.com,MAC005448
BAN001149,james30@carter.biz,MAC005508
BAN001150,parkerkayla@miles.com,MAC000029
BAN001151,alicia85@lee.com,MAC000383
BAN001152,dominguezjacob@hotmail.com,MAC000555
BAN001153,ebrown@osborne.com,MAC000570
BAN001154,nathan86@hotmail.com,MAC000645
BAN001155,aaron11@luna.com,MAC000649
BAN001156,fsnow@ellis.com,MAC000919
BAN001157,asilva@yahoo.com,MAC000937
BAN001158,casey21@johnson.com,MAC001058
BAN001159,campbellross@yahoo.com,MAC001072
BAN001160,blevinseric@stephens.com,MAC001101
BAN001161,stevenking@patterson.com,MAC001254
BAN001162,samuel94@hotmail.com,MAC001379
BAN001163,johnsonpaul@keller-woodard.org,MAC001385
BAN001164,twilliams@gibbs.net,MAC002304
BAN001165,teresapacheco@salinas.biz,MAC002356
BAN001166,allison80@carson-hansen.com,MAC002429
BAN001167,turnerryan@hotmail.com,MAC002830
BAN001168,walkererica@scott.com,MAC002863
BAN001169,mark94@yahoo.com,MAC002886
BAN001170,daniellecuevas@hotmail.com,MAC002902
BAN001171,gbarnes@gmail.com,MAC002933
BAN001172,cody68@hotmail.com,MAC002938
BAN001173,fischermonica@gmail.com,MAC002940
BAN001174,brenda25@gmail.com,MAC002979
BAN001175,david58@yahoo.com,MAC002986
BAN001176,clifford76@johnson.com,MAC003087
BAN001177,jacquelinehughes@bennett-branch.info,MAC003246
BAN001178,victoria53@hotmail.com,MAC003616
BAN001179,cunninghamkyle@ellis-parker.org,MAC003995
BAN001180,jjones@yahoo.com,MAC004001
BAN001181,michaelferguson@torres-miles.net,MAC004008
BAN001182,crawforderik@price.org,MAC004100
BAN001183,jlawson@mccarthy.com,MAC004559
BAN001184,marshchristopher@zimmerman-villegas.com,MAC004804
BAN001185,oolson@collins.com,MAC004896
BAN001186,isaiahcampbell@yahoo.com,MAC004931
BAN001187,kcannon@alvarez-cline.info,MAC004951
BAN001188,nielsencarmen@harrell.net,MAC005128
BAN001189,efreeman@moore.com,MAC005385
BAN001190,roblessarah@hotmail.com,MAC005386
BAN001191,christopherhaas@gmail.com,MAC005388
BAN001192,ethomas@yahoo.com,MAC005397
BAN001193,wevans@gmail.com,MAC005398
BAN001194,patrickorr@yahoo.com,MAC005402
BAN001195,mary84@edwards.com,MAC005422
BAN001196,longwilliam@gmail.com,MAC005473
BAN001197,lisagutierrez@johnson-herring.net,MAC005525
BAN001198,david81@hotmail.com,MAC005546
BAN001199,jacksonking@mccormick.com,MAC005560
BAN001200,jessica04@christian-riley.com,MAC000170
BAN001201,simmonsmartin@hardy.com,MAC001535
BAN001202,michellejohnson@sanders-rodriguez.com,MAC001543
BAN001203,tylerhernandez@barton.info,MAC001548
BAN001204,connerjoseph@gmail.com,MAC001569
BAN001205,jeffrey54@mcdonald-williams.com,MAC001570
BAN001206,hevans@kelly-nunez.org,MAC001573
BAN001207,lewiskendra@yahoo.com,MAC001599
BAN001208,freemantina@cannon.org,MAC001601
BAN001209,wagnerbrian@hotmail.com,MAC001615
BAN001210,melissa08@nelson.com,MAC001847
BAN001211,karina59@gmail.com,MAC002022
BAN001212,baldwinbryan@estrada-silva.biz,MAC002030
BAN001213,audreyguerrero@carey.com,MAC002061
BAN001214,drew29@hotmail.com,MAC002084
BAN001215,michael00@yahoo.com,MAC002110
BAN001216,jgray@khan-allen.com,MAC002122
BAN001217,bushsusan@hotmail.com,MAC002176
BAN001218,charris@gmail.com,MAC002182
BAN001219,longphillip@yahoo.com,MAC002183
BAN001220,madisonalexander@gmail.com,MAC002376
BAN001221,mfoster@brown-white.com,MAC002383
BAN001222,sanchezkara@hotmail.com,MAC002389
BAN001223,floresbradley@hotmail.com,MAC002393
BAN001224,lamryan@curtis-garcia.net,MAC002395
BAN001225,alexandra26@summers-davis.com,MAC002397
BAN001226,ocortez@gmail.com,MAC002417
BAN001227,melinda39@morton.info,MAC002422
BAN001228,lisa94@jackson.com,MAC002430
BAN001229,lucastaylor@yahoo.com,MAC002449
BAN001230,apark@walsh-obrien.net,MAC002451
BAN001231,dominguezmaria@gmail.com,MAC002460
BAN001232,jimmy11@hardin.com,MAC002465
BAN001233,patriciajackson@jenkins.info,MAC002466
BAN001234,rayvanessa@fischer.com,MAC002480
BAN001235,gharrison@davis.com,MAC002487
BAN001236,alexandermichael@hotmail.com,MAC002489
BAN001237,christopher66@hotmail.com,MAC002500
BAN001238,archeremily@baldwin.com,MAC005425
BAN001239,hornesteven@gmail.com,MAC005431
BAN001240,william28@gmail.com,MAC005438
BAN001241,karenosborne@yahoo.com,MAC005441
BAN001242,chansen@holt.com,MAC005451
BAN001243,hallthomas@lane.com,MAC005456
BAN001244,taylorkimberly@yahoo.com,MAC005464
BAN001245,clester@yahoo.com,MAC005466
BAN001246,pvega@hotmail.com,MAC005467
BAN001247,vmartin@yahoo.com,MAC005471
BAN001248,andreperez@hotmail.com,MAC005481
BAN001249,anntaylor@hotmail.com,MAC005542
BAN001250,hickmanelizabeth@yahoo.com,MAC000033
BAN001251,halljohn@yahoo.com,MAC000034
BAN001252,cohensean@yahoo.com,MAC000035
BAN001253,jmartinez@anderson.org,MAC000036
BAN001254,cbrady@gonzalez-miller.com,MAC000045
BAN001255,pkline@hotmail.com,MAC000066
BAN001256,martha91@garrison.net,MAC000370
BAN001257,maureenlopez@gmail.com,MAC000950
BAN001258,russellbaldwin@ferrell.info,MAC000951
BAN001259,amandastanley@yahoo.com,MAC000956
BAN001260,george02@hotmail.com,MAC000958
BAN001261,swilliams@ball-arroyo.com,MAC000960
BAN001262,taylorjared@foster.net,MAC000964
BAN001263,keith13@yahoo.com,MAC000968
BAN001264,schmidtdenise@hotmail.com,MAC000972
BAN001265,jasmin20@salas.com,MAC000973
BAN001266,christophermorrison@mcguire-carter.biz,MAC000975
BAN001267,deborah51@yahoo.com,MAC000977
BAN001268,melindahartman@gmail.com,MAC000990
BAN001269,sharper@yahoo.com,MAC001001
BAN001270,jessicabrewer@simmons.net,MAC001011
BAN001271,beckycarson@jones-brown.biz,MAC001022
BAN001272,jennifer24@hotmail.com,MAC001027
BAN001273,jeremy00@yahoo.com,MAC001032
BAN001274,wellsjuan@schroeder.com,MAC001039
BAN001275,gregorystewart@hotmail.com,MAC001042
BAN001276,tammyjones@griffin.com,MAC001043
BAN001277,djohnson@hotmail.com,MAC001052
BAN001278,kenneth27@smith.com,MAC001066
BAN001279,johnathan33@yahoo.com,MAC001073
BAN001280,carrillojacob@perry-larsen.com,MAC001077
BAN001281,greenelizabeth@edwards.com,MAC001081
BAN001282,denisemorrow@johnson-james.net,MAC001082
BAN001283,wandaphillips@leonard.com,MAC001164
BAN001284,zachary94@gmail.com,MAC001173
BAN001285,ppowell@gmail.com,MAC001260
BAN001286,bhill@pierce-kane.info,MAC002864
BAN001287,matthewgraves@mills-shaffer.com,MAC002869
BAN001288,nwagner@yahoo.com,MAC002879
BAN001289,jamesfaulkner@hoffman-wolfe.org,MAC002881
BAN001290,phillipscarrie@gmail.com,MAC003960
BAN001291,samantha84@cortez.com,MAC003975
BAN001292,edward29@knapp.com,MAC003984
BAN001293,hannahgilbert@gmail.com,MAC004000
BAN001294,lschroeder@gmail.com,MAC004025
BAN001295,thomaswendy@yahoo.com,MAC004035
BAN001296,fuenteskathryn@schmidt-johnson.org,MAC004320
BAN001297,melissa08@rowe.net,MAC004605
BAN001298,bradleysmith@barber.com,MAC004606
BAN001299,morganorozco@hotmail.com,MAC004610
BAN001300,johnsonhannah@gmail.com,MAC000019
BAN001301,javier02@landry.net,MAC000055
BAN001302,lmalone@gmail.com,MAC000123
BAN001303,brandon77@richardson.com,MAC000230
BAN001304,bhamilton@shaw.biz,MAC000281
BAN001305,randyrobinson@hotmail.com,MAC000290
BAN001306,ecruz@yahoo.com,MAC000601
BAN001307,wrightdanielle@gmail.com,MAC000621
BAN001308,deandanny@yahoo.com,MAC000660
BAN001309,dblair@gmail.com,MAC000664
BAN001310,veronicapruitt@hotmail.com,MAC000720
BAN001311,davischristina@hotmail.com,MAC000827
BAN001312,douglasdunlap@boone-rose.com,MAC000832
BAN001313,david28@wallace-hill.org,MAC000842
BAN001314,williammoore@rose.com,MAC000852
BAN001315,angela25@walker.com,MAC000858
BAN001316,arice@reynolds.info,MAC000867
BAN001317,adam75@gmail.com,MAC001054
BAN001318,charlesgutierrez@hotmail.com,MAC001065
BAN001319,codyandrews@hotmail.com,MAC001104
BAN001320,wheelernancy@hernandez.com,MAC001225
BAN001321,drew27@ryan-thompson.com,MAC001415
BAN001322,suzanne63@gmail.com,MAC001467
BAN001323,mitchellscott@gmail.com,MAC001505
BAN001324,laurajimenez@gmail.com,MAC001799
BAN001325,rogersheather@hamilton-jensen.org,MAC001868
BAN001326,ievans@hotmail.com,MAC001888
BAN001327,john85@rodriguez.info,MAC002232
BAN001328,phillipsmark@byrd.net,MAC002316
BAN001329,elizabeth61@berg-braun.com,MAC002368
BAN001330,dbenson@simpson.net,MAC002371
BAN001331,stephaniehill@hotmail.com,MAC002412
BAN001332,davisbriana@gmail.com,MAC002440
BAN001333,kday@gmail.com,MAC002524
BAN001334,jonathanconner@morales.biz,MAC002996
BAN001335,anneingram@miller-alexander.com,MAC003074
BAN001336,jeffery48@mcguire.com,MAC003144
BAN001337,theresamitchell@martin-chambers.biz,MAC003764
BAN001338,christianwade@butler.info,MAC003841
BAN001339,tina16@santiago.com,MAC004077
BAN001340,vancealicia@hotmail.com,MAC004250
BAN001341,dbell@hotmail.com,MAC004508
BAN001342,pamelahampton@martin-cobb.com,MAC004546
BAN001343,mark81@wagner.com,MAC004603
BAN001344,awerner@manning.com,MAC004631
BAN001345,robertramirez@kaiser.com,MAC004692
BAN001346,justin26@gmail.com,MAC004696
BAN001347,douglas95@yahoo.com,MAC004719
BAN001348,qmorse@yahoo.com,MAC005016
BAN001349,jason50@bates.net,MAC005549
BAN001350,qeaton@savage.com,MAC000044
BAN001351,tluna@hotmail.com,MAC000051
BAN001352,kara33@gmail.com,MAC000053
BAN001353,thomas22@yahoo.com,MAC000834
BAN001354,david47@hotmail.com,MAC000841
BAN001355,beasleyjoseph@hotmail.com,MAC000845
BAN001356,hoffmandaniel@yahoo.com,MAC000859
BAN001357,garnerjustin@king.com,MAC000887
BAN001358,francesjohnson@lee.com,MAC000901
BAN001359,awu@robinson.org,MAC001090
BAN001360,xevans@hotmail.com,MAC001121
BAN001361,lauriewilson@jackson.com,MAC001124
BAN001362,cruiz@yahoo.com,MAC001125
BAN001363,tammy12@gmail.com,MAC001372
BAN001364,adamperkins@terrell.com,MAC001635
BAN001365,willie26@johnson-howard.com,MAC001733
BAN001366,yvaughn@meyer.com,MAC001809
BAN001367,carolfarley@gmail.com,MAC001813
BAN001368,rhonda01@gmail.com,MAC001818
BAN001369,david80@knight.com,MAC001822
BAN001370,aaron04@yahoo.com,MAC001828
BAN001371,kaylahenderson@hotmail.com,MAC001842
BAN001372,mholt@hotmail.com,MAC001848
BAN001373,tanya20@gmail.com,MAC001860
BAN001374,aaron89@gmail.com,MAC001877
BAN001375,hunterlucas@gmail.com,MAC002034
BAN001376,sfarley@jones.com,MAC002044
BAN001377,sarahtran@dixon.com,MAC002086
BAN001378,randywhite@armstrong.biz,MAC002090
BAN001379,tsmith@yahoo.com,MAC002205
BAN001380,martinezleah@carter.com,MAC002277
BAN001381,steven00@combs.com,MAC002554
BAN001382,blakekent@smith-pena.com,MAC002927
BAN001383,amanda03@yahoo.com,MAC002994
BAN001384,brandonsmith@yahoo.com,MAC002998
BAN001385,thardy@perry.com,MAC003028
BAN001386,michael86@yahoo.com,MAC003029
BAN001387,ulee@wells.com,MAC003034
BAN001388,judithsmith@jimenez.biz,MAC003050
BAN001389,nblack@smith-romero.biz,MAC003132
BAN001390,michaelcampbell@yahoo.com,MAC003503
BAN001391,rcarter@crane-thompson.org,MAC005067
BAN001392,dwhite@gmail.com,MAC005071
BAN001393,vancemichelle@gmail.com,MAC005073
BAN001394,kylemelendez@hotmail.com,MAC005077
BAN001395,richard35@hale-duncan.net,MAC005078
BAN001396,waltonkaren@gmail.com,MAC005092
BAN001397,contrerastiffany@gmail.com,MAC005107
BAN001398,rogerstiffany@wilson-horne.com,MAC005114
BAN001399,waltercharles@sanders.net,MAC005123
BAN001400,john96@chan-anderson.biz,MAC000054
BAN001401,bushsharon@barber.com,MAC000056
BAN001402,nicolegay@jennings.com,MAC000061
BAN001403,rchambers@hotmail.com,MAC000364
BAN001404,gomezalicia@hotmail.com,MAC000391
BAN001405,potterkenneth@strickland.com,MAC000543
BAN001406,charlesjackson@brady-fuller.net,MAC000558
BAN001407,jacquelinewest@pace-herrera.com,MAC000560
BAN001408,stevenjohnson@yahoo.com,MAC000571
BAN001409,johnsonchelsea@gmail.com,MAC000575
BAN001410,jenniferjenkins@jones.com,MAC000576
BAN001411,ebutler@rogers-gonzalez.com,MAC000579
BAN001412,ellenlucas@cox.org,MAC000580
BAN001413,elizabethnunez@vasquez-nelson.net,MAC000585
BAN001414,ramirezjacob@turner.com,MAC000599
BAN001415,brian51@cook.info,MAC000622
BAN001416,victoriajohnson@gmail.com,MAC000627
BAN001417,lawrencewalton@hotmail.com,MAC000657
BAN001418,ashleymoreno@gmail.com,MAC001100
BAN001419,wesleyvance@moore.com,MAC001106
BAN001420,edwardbrown@yahoo.com,MAC001122
BAN001421,youngellen@hotmail.com,MAC001153
BAN001422,robin80@yahoo.com,MAC001162
BAN001423,dana59@hotmail.com,MAC001168
BAN001424,bwilliams@hotmail.com,MAC001176
BAN001425,whitetyler@anderson-avery.com,MAC001188
BAN001426,rwilliams@trujillo.biz,MAC001193
BAN001427,randall85@williams.com,MAC001204
BAN001428,kevin45@mathews.net,MAC001207
BAN001429,deborah48@white.com,MAC001218
BAN001430,hoganrichard@george.com,MAC001226
BAN001431,kelly24@lewis.info,MAC001230
BAN001432,katherinegray@yahoo.com,MAC001231
BAN001433,efoster@williamson-boyd.org,MAC001243
BAN001434,jordandavid@gmail.com,MAC001247
BAN001435,sanchezamber@scott-patterson.com,MAC001257
BAN001436,tinayoung@hotmail.com,MAC001266
BAN001437,alicia28@fuller.com,MAC002963
BAN001438,rileyalejandro@gmail.com,MAC002970
BAN001439,oliviamarshall@sawyer-sellers.com,MAC002997
BAN001440,hortonrobert@hotmail.com,MAC003045
BAN001441,montgomerycheyenne@hotmail.com,MAC003047
BAN001442,martinkristi@sanchez-coleman.com,MAC003088
BAN001443,jefferycampbell@gmail.com,MAC003097
BAN001444,webertom@phelps.com,MAC003099
BAN001445,aschmidt@johnson.biz,MAC003102
BAN001446,lisadelgado@gmail.com,MAC003155
BAN001447,sharongraves@yahoo.com,MAC004979
BAN001448,flevine@gmail.com,MAC005022
BAN001449,rskinner@johnson-jefferson.com,MAC005240
BAN001450,kiarakim@harris.org,MAC000360
BAN001451,rachelrodriguez@lara-waters.com,MAC000405
BAN001452,dbrown@gmail.com,MAC000446
BAN001453,mary45@gmail.com,MAC000554
BAN001454,marcusleach@floyd.org,MAC000854
BAN001455,lmunoz@yahoo.com,MAC001229
BAN001456,dvasquez@wiley.com,MAC001233
BAN001457,dylanmartin@hotmail.com,MAC001240
BAN001458,xkaufman@gmail.com,MAC001272
BAN001459,jasonhensley@yahoo.com,MAC001278
BAN001460,gstrong@hotmail.com,MAC001292
BAN001461,arnoldsamuel@wilson.com,MAC001357
BAN001462,scottrose@yahoo.com,MAC001399
BAN001463,salazarkaren@hotmail.com,MAC001408
BAN001464,susanibarra@yahoo.com,MAC001446
BAN001465,nhenry@hotmail.com,MAC001453
BAN001466,millerrachel@gallagher-nichols.com,MAC001462
BAN001467,garciakevin@gmail.com,MAC001494
BAN001468,philliproberson@yahoo.com,MAC001497
BAN001469,kstafford@estes-nguyen.com,MAC001507
BAN001470,kennethperry@bowen.org,MAC001525
BAN001471,prussell@lopez.com,MAC001591
BAN001472,mosleyjacob@yahoo.com,MAC001618
BAN001473,rhaas@yahoo.com,MAC001859
BAN001474,antonioharris@hotmail.com,MAC001875
BAN001475,austinthomas@gmail.com,MAC001891
BAN001476,bethsullivan@reed.net,MAC001975
BAN001477,ncummings@yahoo.com,MAC001991
BAN001478,hking@hotmail.com,MAC001996
BAN001479,annstone@hotmail.com,MAC003430
BAN001480,christopher44@hotmail.com,MAC003440
BAN001481,autumn88@mendoza-mills.com,MAC003454
BAN001482,dhudson@ramos.net,MAC003501
BAN001483,egomez@hotmail.com,MAC003547
BAN001484,kimberlyruiz@smith-gordon.com,MAC003754
BAN001485,mooremichelle@logan.com,MAC003759
BAN001486,aaron22@gmail.com,MAC003768
BAN001487,michelleshepherd@price.com,MAC003809
BAN001488,zscott@wright.com,MAC003812
BAN001489,tracy79@wheeler.net,MAC003832
BAN001490,brian28@sanchez.org,MAC003833
BAN001491,leonardhancock@hotmail.com,MAC003834
BAN001492,davidsonkathleen@gmail.com,MAC003864
BAN001493,nathan84@lowery.net,MAC003866
BAN001494,kellydeborah@chan.biz,MAC003959
BAN001495,lewisjessica@craig-evans.com,MAC003969
BAN001496,katrina56@gmail.com,MAC003986
BAN001497,dale88@hotmail.com,MAC004002
BAN001498,cwilson@hotmail.com,MAC004048
BAN001499,hannahwilson@davidson.com,MAC005450
